hhid;vilid;distid;stateid;gender;male_adult;female_adult;male_child;female_child;age;educ;esw_hear;esw_use;esw_plan;zt_hear;zt_use;zt_plan;plot_area_num;wheat_number;wheat_value;cost_nonlab;cost_lab;water;fuel;lighting;income;income_agric
1301 18;1301;Mahendragarh;Haryana;Male;5;2;0;0;39;Some secondary education;2;;;2;;;1;15;30000;5000;3000;Pipeline inside own house;LPG;Solar;100000;0
1301 19;1301;Mahendragarh;Haryana;Male;2;2;1;1;65;Some secondary education;2;;;2;;;0,5;5;9750;5000;4000;Pipeline inside own house;Wood;Solar;60000;20
1302 1;1302;Mahendragarh;Haryana;Male;2;3;0;2;60;No formal education;2;;;2;;;1,25;20;40000;15000;0;Borewell in residence yard;Wood;Solar;100000;0
1302 2;1302;Mahendragarh;Haryana;Male;3;2;0;0;55;Completed secondary education;2;;;2;;;2;40;90000;7000;16000;Public well – sealed with pump/ handpump;Wood;Solar;100000;25
1302 3;1302;Mahendragarh;Haryana;Male;4;5;0;0;45;Completed university degree;2;;;2;;;3;60;120000;30000;24000;Pipeline inside own house;LPG;Solar;500000;20
1302 5;1302;Mahendragarh;Haryana;Male;3;3;1;0;70;Completed primary education;2;;;2;;;3;30;66000;9000;7000;Public well – sealed with pump/ handpump;Wood;Solar;120000;0
1302 6;1302;Mahendragarh;Haryana;Male;3;2;1;0;71;Completed secondary education;2;;;2;;;1,5;30;60000;10000;5000;Pipeline inside own house;Wood;Solar;120000;0
1302 7;1302;Mahendragarh;Haryana;Male;2;1;0;0;56;Completed secondary education;2;;;2;;;1;20;40000;10000;10000;Pipeline inside own house;Wood;Solar;100000;0
1302 8;1302;Mahendragarh;Haryana;Male;3;2;0;1;49;Completed secondary education;2;;;2;;;2;40;90000;4600;17000;Public well – sealed with pump/ handpump;Wood;Solar;150000;0
1302 9;1302;Mahendragarh;Haryana;Male;4;2;1;0;38;Some secondary education;2;;;2;;;1,5;25;65000;45000;12000;Pipeline inside own house;Wood;Solar;100000;0
1302 10;1302;Mahendragarh;Haryana;Male;2;2;1;0;53;Completed secondary education;1;1;No;2;;;3;20;45000;8000;5000;Public well – sealed with pump/ handpump;Wood;Solar;90000;0
1302 11;1302;Mahendragarh;Haryana;Male;3;2;0;0;65;Completed secondary education;2;;;2;;;1,25;20;42000;10000;10000;Borewell in residence yard;Wood;Solar;200000;0
1302 12;1302;Mahendragarh;Haryana;Male;4;3;1;0;60;Some primary education;2;;;2;;;3;30;66000;9000;5000;Public well – sealed with pump/ handpump;Wood;Solar;120000;0
1302 13;1302;Mahendragarh;Haryana;Male;4;2;1;1;45;Completed secondary education;2;;;2;;;3;54;97200;21000;30000;Pipeline inside own house;Wood;Solar;300000;50
1302 14;1302;Mahendragarh;Haryana;Male;3;2;0;0;58;Completed secondary education;2;;;2;;;1,5;24;50400;15000;15000;Borewell in residence yard;LPG;Solar;800000;60
1302 15;1302;Mahendragarh;Haryana;Male;3;2;0;0;62;Completed primary education;2;;;2;;;2;35;70000;7000;20000;Public well – sealed with pump/ handpump;Wood;Solar;80000;0
1302 16;1302;Mahendragarh;Haryana;Male;4;3;1;1;60;Completed primary education;2;;;2;;;1;20;40000;10000;5000;Public well – sealed with pump/ handpump;Wood;Solar;120000;0
1302 17;1302;Mahendragarh;Haryana;Male;2;2;1;1;54;Completed university degree;2;;;2;;;1,5;25;55000;10000;7000;Pipeline inside own house;Wood;Solar;100000;0
1302 18;1302;Mahendragarh;Haryana;Male;1;2;0;0;70;Completed university degree;2;;;2;;;2,5;95,31205312;110000;25000;15000;Borewell in residence yard;LPG;Solar;1500000;60
1302 19;1302;Mahendragarh;Haryana;Male;2;3;1;1;57;No formal education;2;;;2;;;1,5;38,12482125;36000;3000;0;Public well – sealed with pump/ handpump;Wood;Solar;100000;0
1302 20;1302;Mahendragarh;Haryana;Male;5;4;0;0;38;Completed university degree;2;;;2;;;3;60;125000;10000;50000;Pipeline inside own house;Wood;Solar;150000;0
1303 1;1303;Mahendragarh;Haryana;Male;1;1;1;1;42;Some secondary education;2;;;1;2;Don't know yet;1;1680;35800;3000;0;Pipeline inside own house;Wood;Solar;80000;
1303 4;1303;Mahendragarh;Haryana;Female;5;6;1;0;52;Some primary education;2;;;2;;;1,5;30,499857;35200;15000;8500;Pipeline inside own house;LPG;Solar;230000;50
1303 5;1303;Mahendragarh;Haryana;Male;2;2;0;0;45;Completed university degree;2;;;2;;;0,5;30,499857;35000;1200;5500;Pipeline inside own house;LPG;Solar;300000;25
1303 6;1303;Mahendragarh;Haryana;Female;2;2;1;0;56;Completed university degree;2;;;2;;;1;22;52800;8000;10000;Pipeline inside own house;LPG;Solar;2000000;80
1303 7;1303;Mahendragarh;Haryana;Male;2;2;5;2;48;Some secondary education;2;;;2;;;2;20;44000;8000;5000;Pipeline inside own house;Wood;Solar;120000;0
1303 8;1303;Mahendragarh;Haryana;Female;3;2;0;1;48;Some primary education;2;;;2;;;0,5;15,2499285;16800;5000;3500;Pipeline inside own house;LPG;Solar;342000;80
1303 12;1303;Mahendragarh;Haryana;Male;4;2;0;0;46;Some secondary education;2;;;2;;;2;20;50000;9000;7000;Pipeline inside own house;Wood;Solar;200000;
1303 13;1303;Mahendragarh;Haryana;Male;4;3;0;0;48;Some secondary education;2;;;2;;;2;20;55000;5000;3000;Pipeline inside own house;Wood;Solar;200000;
1303 14;1303;Mahendragarh;Haryana;Male;3;2;0;0;45;Completed secondary education;2;;;2;;;1;20;44000;8000;5000;Pipeline inside own house;Wood;Solar;200000;
1303 15;1303;Mahendragarh;Haryana;Female;2;2;0;0;38;Completed university degree;2;;;1;2;Don't know yet;2;16;35000;8000;10000;Pipeline inside own house;Wood;Solar;150000;0
1303 16;1303;Mahendragarh;Haryana;Male;3;1;0;0;45;Some secondary education;2;;;1;2;Don't know yet;1;20;41000;5500;13000;Pipeline inside own house;Wood;Solar;400000;
1303 19;1303;Mahendragarh;Haryana;Female;2;2;0;0;39;Completed secondary education;2;;;2;;;1;25;55000;7000;3000;Pipeline inside own house;Wood;Solar;120000;
1303 20;1303;Mahendragarh;Haryana;Male;2;2;0;0;49;Some secondary education;2;;;2;;;1;38,12482125;45000;10000;0;Pipeline inside own house;Wood;Solar;120000;10
1304 1;1304;Mahendragarh;Haryana;Male;3;1;0;0;54;Completed university degree;2;;;2;;;1;34,31233912;37000;4200;4000;Pipeline inside own house;LPG;Solar;100000;0
1304 2;1304;Mahendragarh;Haryana;Male;3;1;0;0;25;Completed primary education;2;;;2;;;3;35;70000;14000;0;Pipeline inside own house;Wood;Solar;;
1304 4;1304;Mahendragarh;Haryana;Male;2;1;0;0;46;Completed secondary education;2;;;2;;;4;80;160000;15000;18000;Borewell in residence yard;Wood;Solar;200000;0
1304 5;1304;Mahendragarh;Haryana;Male;1;2;1;0;38;Completed secondary education;2;;;2;;;2,5;28;56000;;0;Pipeline inside own house;Wood;Solar;;0
1304 6;1304;Mahendragarh;Haryana;Male;1;1;0;0;58;Completed secondary education;2;;;1;2;Don't know yet;2;24;54000;4500;14000;Pipeline inside own house;Wood;Solar;150000;0
1304 7;1304;Mahendragarh;Haryana;Male;2;3;2;1;33;Completed secondary education;2;;;2;;;3;54;18000;13000;20000;Public well – sealed with pump/ handpump;Wood;Solar;200000;30
1304 8;1304;Mahendragarh;Haryana;Male;3;3;3;0;60;Completed secondary education;2;;;2;;;2;80,06212462;61600;10000;24000;Pipeline inside own house;Wood;Solar;150000;0
1304 9;1304;Mahendragarh;Haryana;Male;2;2;0;0;50;Completed secondary education;2;;;2;;;3;45;90000;10000;10000;Pipeline inside own house;LPG;Solar;400000;40
1304 10;1304;Mahendragarh;Haryana;Female;3;3;0;1;50;Completed primary education;2;;;2;;;1;20;44000;6000;7000;Pipeline inside own house;Wood;Solar;300000;80
1304 13;1304;Mahendragarh;Haryana;Male;1;1;1;2;33;Completed secondary education;2;;;2;;;2;20;40000;25000;6000;Pipeline inside own house;Wood;Solar;200000;25
1304 14;1304;Mahendragarh;Haryana;Male;2;2;0;3;40;Completed secondary education;2;;;2;;;2;35;70000;5000;18000;Pipeline inside own house;Wood;Solar;140000;40
1304 15;1304;Mahendragarh;Haryana;Male;2;2;0;3;32;Completed university degree;1;2;Don't know yet;2;;;2;45;90000;14000;6000;Pipeline outside own house;LPG;Solar;125000;20
1304 16;1304;Mahendragarh;Haryana;Male;3;2;2;0;65;Completed secondary education;2;;;2;;;1;20;40000;10000;8000;Pipeline inside own house;LPG;Solar;800000;60
1304 17;1304;Mahendragarh;Haryana;Male;3;2;1;0;50;Completed primary education;2;;;2;;;1;15;30000;6000;0;Pipeline inside own house;Wood;Solar;;0
1304 18;1304;Mahendragarh;Haryana;Male;1;1;0;0;60;Completed secondary education;2;;;2;;;4;60;108000;4500;28000;Own well - sealed with pump/ handpump;LPG;Solar;160000;25
1304 19;1304;Mahendragarh;Haryana;Female;1;2;0;1;65;No formal education;2;;;2;;;1;17;34000;5000;3500;Pipeline inside own house;LPG;Solar;70000;0
1304 21;1304;Mahendragarh;Haryana;Male;3;1;0;0;55;Completed secondary education;2;;;2;;;1;20;40000;3500;14500;Public well – sealed with pump/ handpump;LPG;Solar;100000;60
1304 22;1304;Mahendragarh;Haryana;Male;2;1;0;0;47;Completed secondary education;2;;;2;;;1;25;55000;8000;10000;Pipeline inside own house;Wood;Solar;150000;0
1304 23;1304;Mahendragarh;Haryana;Male;3;2;1;0;60;No formal education;2;;;2;;;2;40;80000;5000;10000;Pipeline inside own house;Wood;Solar;100000;0
1304 24;1304;Mahendragarh;Haryana;Male;2;2;1;0;42;Some primary education;2;;;2;;;1,5;40;40000;7000;8000;Pipeline inside own house;Wood;Solar;150000;20
1305 4;1305;Mahendragarh;Haryana;Male;3;3;2;2;52;Completed secondary education;2;;;2;;;1;20;42000;3000;1500;Pipeline inside own house;Wood;Solar;600000;70
1305 5;1305;Mahendragarh;Haryana;Male;4;2;1;1;45;Completed secondary education;2;;;2;;;1,5;53,37474974;40000;15000;1500;Pipeline inside own house;Wood;Solar;200000;
1305 6;1305;Mahendragarh;Haryana;Male;1;1;0;0;67;Completed secondary education;2;;;1;2;Don't know yet;2;40;90000;10000;16000;Pipeline inside own house;LPG;Solar;80000;0
1305 7;1305;Mahendragarh;Haryana;Female;2;2;0;1;53;Some secondary education;2;;;2;;;1;25;55000;7000;10000;Pipeline inside own house;LPG;Solar;150000;
1305 8;1305;Mahendragarh;Haryana;Male;1;0;0;0;60;Some primary education;1;2;Yes;2;;;1;22;45000;7000;0;Pipeline inside own house;LPG;Solar;;
1305 10;1305;Mahendragarh;Haryana;Female;3;4;2;0;50;Some secondary education;2;;;2;;;1,25;22;55000;12000;10000;Pipeline inside own house;LPG;Solar;;
1305 12;1305;Mahendragarh;Haryana;Female;2;1;0;0;48;Some secondary education;2;;;2;;;1;25;50000;7000;10000;Pipeline inside own house;LPG;Solar;150000;
1305 15;1305;Mahendragarh;Haryana;Male;1;1;1;0;54;Completed secondary education;2;;;2;;;1,75;76,24964249;82000;8000;18000;Pipeline inside own house;LPG;Solar;125000;0
1305 17;1305;Mahendragarh;Haryana;Male;2;2;1;1;38;Some secondary education;2;;;2;;;2;25;56250;5000;10000;Pipeline inside own house;Wood;Solar;100000;
1306 1;1306;Mahendragarh;Haryana;Male;3;1;0;0;60;Completed primary education;2;;;2;;;1;22;48400;20000;7000;Pipeline inside own house;Wood;Solar;100000;0
1306 2;1306;Mahendragarh;Haryana;Female;2;3;0;2;60;Completed primary education;2;;;2;;;1;20;45000;10000;6000;Pipeline inside own house;LPG;Solar;150000;60
1306 3;1306;Mahendragarh;Haryana;Male;2;2;2;0;64;No formal education;2;;;2;;;1;25;50000;10000;5000;Pipeline inside own house;LPG;Solar;100000;0
1306 4;1306;Mahendragarh;Haryana;Male;3;2;0;1;59;Some primary education;2;;;2;;;1;12;26000;10000;5000;Pipeline inside own house;Wood;Solar;120000;0
1306 5;1306;Mahendragarh;Haryana;Male;1;2;1;0;31;Completed university degree;2;;;2;;;1;45,7497855;50400;6600;10000;Pipeline inside own house;LPG;Solar;180000;80
1306 7;1306;Mahendragarh;Haryana;Male;2;1;1;0;50;No formal education;2;;;2;;;1;16;32000;5000;5000;Pipeline inside own house;Wood;Solar;80000;0
1306 8;1306;Mahendragarh;Haryana;Male;4;5;3;1;38;Completed secondary education;2;;;2;;;1;22;50000;9000;7000;Pipeline inside own house;Wood;Solar;120000;0
1306 9;1306;Mahendragarh;Haryana;Male;4;3;2;3;50;;2;;;2;;;1;15;31500;13000;7000;Pipeline inside own house;LPG;Solar;300000;80
1306 10;1306;Mahendragarh;Haryana;Male;2;2;1;0;20;Completed university degree;2;;;2;;;1,5;25;56250;8000;5000;Pipeline inside own house;Wood;Solar;80000;0
1306 11;1306;Mahendragarh;Haryana;Male;3;3;1;2;55;Completed primary education;2;;;2;;;5;190,6241062;200000;25000;35000;Pipeline inside own house;Wood;Solar;300000;0
1306 12;1306;Mahendragarh;Haryana;Male;3;3;1;1;42;Completed secondary education;2;;;2;;;2;76,24964249;80000;10000;15000;Pipeline inside own house;Wood;Solar;100000;0
1306 13;1306;Mahendragarh;Haryana;Male;1;1;2;0;36;Completed secondary education;2;;;2;;;1,5;8;18000;2000;1500;Pipeline inside own house;Wood;Solar;100000;0
1306 14;1306;Mahendragarh;Haryana;Male;3;2;1;0;52;Completed secondary education;2;;;2;;;2;91,49957099;95000;20000;14000;Pipeline inside own house;Wood;Solar;200000;0
1306 15;1306;Mahendragarh;Haryana;Male;3;2;1;1;40;Completed secondary education;2;;;2;;;1,5;22;50000;8000;5000;Pipeline inside own house;Wood;Solar;100000;0
1306 16;1306;Mahendragarh;Haryana;Female;2;2;0;0;35;Some secondary education;2;;;2;;;1;20;44000;5000;3000;Pipeline inside own house;Wood;Solar;90000;0
1306 17;1306;Mahendragarh;Haryana;Male;2;2;1;2;85;No formal education;2;;;2;;;1;34,31233912;37800;9000;10000;Pipeline inside own house;Wood;Solar;90000;70
1306 18;1306;Mahendragarh;Haryana;Male;8;2;1;0;73;Completed primary education;2;;;2;;;1;24;52800;12000;7000;Pipeline inside own house;Wood;Solar;120000;0
1306 20;1306;Mahendragarh;Haryana;Male;3;2;1;0;48;Completed secondary education;2;;;2;;;6;120;240000;60000;42000;Pipeline inside own house;Wood;Solar;500000;50
1306 21;1306;Mahendragarh;Haryana;Male;3;2;2;3;55;;2;;;2;;;2,5;40;74000;19000;10000;Pipeline inside own house;LPG;Solar;440000;80
1306 22;1306;Mahendragarh;Haryana;Male;3;3;3;2;60;;2;;;2;;;1,5;57,18723187;58500;15000;10000;Pipeline inside own house;LPG;Solar;280000;70
1401 1;1401;Nuh;Haryana;Female;2;2;1;3;40;;2;;;2;;;1;8;16000;16000;5000;Tanker-supplied water;Wood;Solar;70000;60
1401 2;1401;Nuh;Haryana;Male;2;4;1;0;40;Completed primary education;2;;;2;;;2;20;44000;15000;9000;Tanker-supplied water;Wood;Solar;90000;0
1401 3;1401;Nuh;Haryana;Female;2;2;2;3;35;;2;;;2;;;0,5;6;12000;8000;3000;Tanker-supplied water;Wood;Solar;240000;80
1401 4;1401;Nuh;Haryana;Male;5;7;4;2;60;Completed primary education;2;;;2;;;3;36;180000;18000;30000;Tanker-supplied water;LPG;Solar;80000;0
1401 5;1401;Nuh;Haryana;Male;1;1;2;3;35;Completed secondary education;2;;;2;;;0,5;6;18000;;0;Tanker-supplied water;Wood;Solar;;
1401 6;1401;Nuh;Haryana;Female;2;1;3;1;65;No formal education;2;;;2;;;0,5;6;13200;2500;1500;Tanker-supplied water;Wood;Solar;50000;70
1401 7;1401;Nuh;Haryana;Male;2;3;1;1;25;Completed secondary education;2;;;2;;;1;12;36000;5000;5000;Tanker-supplied water;LPG;Solar;;
1401 8;1401;Nuh;Haryana;Female;2;3;4;3;60;No formal education;2;;;2;;;1;12;36000;8000;0;Tanker-supplied water;Wood;Solar;;
1401 9;1401;Nuh;Haryana;Male;3;3;1;2;25;Completed primary education;2;;;2;;;0,5;6;18000;6000;0;Tanker-supplied water;Wood;Solar;;
1401 10;1401;Nuh;Haryana;Male;6;4;2;3;55;Some secondary education;2;;;2;;;3;60;180000;15000;18000;Tanker-supplied water;Wood;Solar;50000;0
1401 11;1401;Nuh;Haryana;Male;1;1;3;4;46;Some primary education;2;;;2;;;1;19;38000;12000;7000;Tanker-supplied water;Wood;Solar;130000;50
1402 1;1402;Nuh;Haryana;Male;3;2;1;1;23;Completed university degree;2;;;2;;;2;42;80000;20000;15000;Tanker-supplied water;Wood;Solar;150000;
1402 2;1402;Nuh;Haryana;Female;2;1;3;2;35;No formal education;2;;;2;;;1,5;22;40000;18000;10000;Tanker-supplied water;Wood;Solar;;
1402 3;1402;Nuh;Haryana;Male;2;4;0;0;50;Completed secondary education;2;;;2;;;1;24;48000;10000;5000;Tanker-supplied water;LPG;Solar;70000;
1402 4;1402;Nuh;Haryana;Female;1;2;3;0;50;No formal education;2;;;2;;;1;12;24000;8000;0;Tanker-supplied water;Wood;Solar;;
1402 5;1402;Nuh;Haryana;Male;5;2;1;0;60;Some primary education;2;;;2;;;1;22;44000;12000;7000;Tanker-supplied water;Electricity;Solar;150000;60
1402 6;1402;Nuh;Haryana;Male;5;4;4;3;48;Completed secondary education;2;;;2;;;3;60;135000;30000;21000;Tanker-supplied water;LPG;Solar;80000;10
1402 7;1402;Nuh;Haryana;Male;3;1;0;2;60;No formal education;2;;;2;;;1,25;24;48000;10000;0;Tanker-supplied water;LPG;Solar;200000;70
1402 8;1402;Nuh;Haryana;Female;6;3;6;2;55;No formal education;2;;;2;;;2;40;40000;6000;10000;Tanker-supplied water;Wood;Solar;200000;30
1402 9;1402;Nuh;Haryana;Male;1;2;0;0;63;No formal education;2;;;2;;;1;18;36000;7000;10000;Tanker-supplied water;Wood;Solar;70000;
1402 10;1402;Nuh;Haryana;Male;4;3;1;0;50;Some secondary education;2;;;2;;;1;20;40000;5000;10000;Tanker-supplied water;Wood;Solar;70000;
1402 11;1402;Nuh;Haryana;Male;5;2;1;0;55;Completed primary education;2;;;2;;;1,25;24;48000;10000;0;Tanker-supplied water;Wood;Solar;120000;80
1402 12;1402;Nuh;Haryana;Male;2;3;1;1;45;Completed secondary education;2;;;2;;;2;50;150000;10000;15000;Tanker-supplied water;Wood;Solar;100000;0
1402 13;1402;Nuh;Haryana;Female;2;1;3;3;35;No formal education;2;;;2;;;1;20;40000;10000;8000;Tanker-supplied water;Wood;Solar;;
1402 14;1402;Nuh;Haryana;Male;3;3;2;1;52;Some secondary education;2;;;2;;;2;40;44000;10000;14000;Tanker-supplied water;Wood;Solar;100000;25
1402 15;1402;Nuh;Haryana;Male;3;1;0;5;43;Completed university degree;2;;;2;;;1,25;24;48000;10000;0;Tanker-supplied water;Electricity;Solar;100000;60
1402 16;1402;Nuh;Haryana;Male;1;1;0;3;45;Some secondary education;2;;;2;;;1;25;50000;10000;5500;Tanker-supplied water;Wood;Solar;50000;0
1402 17;1402;Nuh;Haryana;Male;5;2;0;2;65;Completed primary education;2;;;2;;;1;20;40000;6000;8000;Tanker-supplied water;Wood;Solar;100000;
1402 18;1402;Nuh;Haryana;Male;1;1;4;1;33;Completed secondary education;2;;;2;;;2;40;80000;8000;10000;Tanker-supplied water;Wood;Solar;100000;
1402 19;1402;Nuh;Haryana;Female;1;3;2;4;32;No formal education;2;;;2;;;1;20;40000;12000;8000;Tanker-supplied water;Wood;Solar;50000;10
1402 20;1402;Nuh;Haryana;Male;1;1;1;3;38;Some primary education;2;;;2;;;1;22;40000;15000;8000;Tanker-supplied water;LPG;Solar;;
1402 22;1402;Nuh;Haryana;Male;2;2;0;0;70;No formal education;2;;;2;;;1;17;34000;5000;10000;Tanker-supplied water;Wood;Solar;100000;50
1402 23;1402;Nuh;Haryana;Male;8;6;4;3;55;Completed secondary education;2;;;2;;;1,5;30;66000;10000;9000;Tanker-supplied water;Wood;Solar;50000;10
1402 25;1402;Nuh;Haryana;Female;2;3;1;6;55;No formal education;2;;;2;;;0,5;6;12000;4000;0;Tanker-supplied water;LPG;Solar;60000;60
1402 26;1402;Nuh;Haryana;Female;1;4;0;1;65;No formal education;2;;;2;;;1;20;40000;5000;8000;Tanker-supplied water;Wood;Solar;80000;
1406 1;1406;Nuh;Haryana;Male;4;2;1;1;21;Some primary education;2;;;2;;;2;44;100000;40000;0;Tanker-supplied water;Wood;Solar;100000;0
1406 2;1406;Nuh;Haryana;Male;4;5;10;5;67;No formal education;2;;;2;;;1,5;30;70000;20000;9000;Tanker-supplied water;Wood;Solar;400000;75
1406 3;1406;Nuh;Haryana;Male;4;3;3;1;54;Completed primary education;2;;;2;;;3;66;130000;25000;0;Tanker-supplied water;Dung;Solar;200000;0
1406 4;1406;Nuh;Haryana;Female;1;1;0;1;60;;2;;;2;;;1;45,7497855;48000;15000;0;Tanker-supplied water;Wood;Solar;50000;10
1406 5;1406;Nuh;Haryana;Male;3;2;0;1;45;Completed primary education;2;;;2;;;1;20;48000;11000;6000;Tanker-supplied water;Wood;Solar;60000;
1406 6;1406;Nuh;Haryana;Male;2;2;3;2;57;Some primary education;2;;;2;;;2,5;40;88000;15000;9000;Tanker-supplied water;Wood;Solar;120000;
1406 7;1406;Nuh;Haryana;Male;5;4;3;3;46;Completed secondary education;2;;;1;2;Don't know yet;1;22;46000;12000;8000;Tanker-supplied water;Wood;Solar;100000;
1406 8;1406;Nuh;Haryana;Male;5;5;4;0;30;Some secondary education;2;;;2;;;1;25;55000;10000;7000;Tanker-supplied water;Wood;Solar;120000;
1406 9;1406;Nuh;Haryana;Male;4;3;1;2;60;Some primary education;2;;;2;;;1;24;45600;14000;3000;Tanker-supplied water;Wood;Solar;200000;70
1406 10;1406;Nuh;Haryana;Male;5;4;5;2;50;Completed primary education;2;;;2;;;3;30;66000;10000;5000;Tanker-supplied water;Wood;Solar;120000;
1406 11;1406;Nuh;Haryana;Female;0;5;3;0;50;;2;;;2;;;1;30,499857;30400;13000;5000;Tanker-supplied water;Wood;Solar;60000;0
1406 12;1406;Nuh;Haryana;Male;5;3;4;2;66;;2;;;2;;;2;60,99971399;57600;25000;10000;Tanker-supplied water;LPG;Solar;100000;60
1406 13;1406;Nuh;Haryana;Female;7;5;4;1;56;No formal education;2;;;2;;;3;66;130000;60000;15000;Tanker-supplied water;LPG;Solar;400000;50
1406 14;1406;Nuh;Haryana;Male;5;5;4;2;50;Completed primary education;2;;;2;;;2;30;66000;8000;5000;Tanker-supplied water;Wood;Solar;200000;
1406 15;1406;Nuh;Haryana;Male;3;3;3;1;23;Completed secondary education;2;;;2;;;1,5;35;73500;20000;;Tanker-supplied water;Wood;Solar;;
1406 16;1406;Nuh;Haryana;Female;2;2;3;2;70;;2;;;2;;;1;16;32000;13000;4000;Tanker-supplied water;Dung;Solar;50000;20
1406 17;1406;Nuh;Haryana;Male;5;3;2;3;20;Completed primary education;2;;;2;;;2;44;100000;40000;0;Tanker-supplied water;Wood;Solar;150000;10
1406 18;1406;Nuh;Haryana;Female;3;6;0;0;58;No formal education;2;;;2;;;1;18;40000;10000;5000;Tanker-supplied water;Wood;Solar;150000;25
1406 19;1406;Nuh;Haryana;Male;4;3;5;2;18;Completed primary education;2;;;2;;;2;40;45000;15000;0;Tanker-supplied water;LPG;Solar;90000;0
1406 20;1406;Nuh;Haryana;Male;3;3;8;0;52;;2;;;2;;;2;15;33000;15000;5000;Tanker-supplied water;Wood;Solar;120000;
1406 21;1406;Nuh;Haryana;Male;5;5;4;5;45;Some primary education;2;;;2;;;8;32;70400;12000;8000;Public well – sealed with pump/ handpump;Wood;Solar;120000;
1406 22;1406;Nuh;Haryana;Male;4;5;3;10;63;Some secondary education;2;;;2;;;2;30;66000;10000;7000;Tanker-supplied water;Wood;Solar;120000;
1406 23;1406;Nuh;Haryana;Male;3;2;2;0;40;Completed primary education;2;;;2;;;0,5;10;25000;5000;3000;Tanker-supplied water;Wood;Solar;100000;70
1406 24;1406;Nuh;Haryana;Male;1;3;1;0;61;;2;;;2;;;0,5;11;22000;3000;2500;Tanker-supplied water;Wood;Solar;22000;
1406 25;1406;Nuh;Haryana;Male;1;1;1;3;32;Some primary education;2;;;2;;;1,5;22;44000;15000;5000;Pipeline inside own house;LPG;Solar;100000;50
1406 26;1406;Nuh;Haryana;Male;3;2;1;1;50;Completed primary education;2;;;2;;;1;34,31233912;68400;12000;5000;Tanker-supplied water;Wood;Solar;70000;0
1407 1;1407;Nuh;Haryana;Male;2;2;0;0;52;Completed primary education;1;1;Yes;2;;;1;20;22500;3000;0;Tanker-supplied water;Wood;Solar;50000;0
1407 3;1407;Nuh;Haryana;Male;4;4;8;3;62;Completed secondary education;2;;;2;;;1;12;36000;8000;5000;Tanker-supplied water;Wood;Solar;60000;0
1407 5;1407;Nuh;Haryana;Male;6;3;2;1;60;No formal education;2;;;2;;;1;12;36000;10000;8000;Tanker-supplied water;Wood;Solar;200000;
1407 7;1407;Nuh;Haryana;Female;3;2;0;0;36;Completed secondary education;1;1;Yes;2;;;3;60;132000;15000;25000;Tanker-supplied water;LPG;Solar;100000;0
1407 9;1407;Nuh;Haryana;Male;1;1;1;0;29;Completed secondary education;2;;;2;;;1;10;30000;10000;5000;Tanker-supplied water;LPG;Solar;;
1407 12;1407;Nuh;Haryana;Male;3;3;0;0;63;Completed university degree;2;;;2;;;2,75;68,62467824;180000;15000;10000;Tanker-supplied water;Wood;Solar;500000;70
1407 15;1407;Nuh;Haryana;Male;2;3;0;0;46;Completed secondary education;1;1;Yes;2;;;1,5;30;66000;4000;0;Tanker-supplied water;Wood;Solar;60000;0
1407 16;1407;Nuh;Haryana;Male;3;2;1;1;47;Completed primary education;2;;;2;;;1;12;36000;10000;4500;Tanker-supplied water;Wood;Solar;;
1407 17;1407;Nuh;Haryana;Female;2;2;2;1;50;Completed primary education;2;;;2;;;1;22;44000;3500;0;Tanker-supplied water;Wood;Solar;50000;0
1407 19;1407;Nuh;Haryana;Male;3;3;1;0;48;Completed secondary education;2;;;2;;;1;12;36000;6000;4000;Tanker-supplied water;LPG;Solar;;
1408 1;1408;Nuh;Haryana;Male;5;4;3;1;50;Completed primary education;2;;;2;;;1;15;45000;4000;0;River, lake, spring, pond;Wood;Solar;50000;0
1408 2;1408;Nuh;Haryana;Male;6;3;0;0;29;Completed university degree;2;;;2;;;1;24;50000;6000;0;Own well - sealed with pump/ handpump;LPG;Solar;300000;50
1408 3;1408;Nuh;Haryana;Male;1;1;0;0;60;No formal education;2;;;2;;;2;40;88000;7000;8000;River, lake, spring, pond;Wood;Solar;50000;0
1408 5;1408;Nuh;Haryana;Male;5;4;2;1;63;Completed primary education;2;;;2;;;7;30;66000;12000;8000;Public well – sealed with pump/ handpump;Wood;Solar;120000;
1408 6;1408;Nuh;Haryana;Male;5;4;6;4;62;No formal education;2;;;2;;;3;48;92000;30000;15000;River, lake, spring, pond;LPG;Solar;100000;25
1408 7;1408;Nuh;Haryana;Male;5;3;3;1;57;No formal education;2;;;2;;;1,5;30;60000;15000;5000;Pipeline inside own house;LPG;Solar;120000;25
1408 8;1408;Nuh;Haryana;Male;4;1;1;0;45;Completed primary education;2;;;2;;;1;20;44000;9000;7000;Pipeline inside own house;Wood;Solar;90000;0
1408 9;1408;Nuh;Haryana;Female;2;2;1;1;48;Some primary education;2;;;2;;;1;16;32000;12000;4000;Borewell in residence yard;Dung;Solar;150000;50
1408 10;1408;Nuh;Haryana;Female;1;1;4;1;35;;2;;;2;;;1;45,7497855;48000;10000;7000;Borewell in residence yard;Wood;Solar;80000;60
1408 11;1408;Nuh;Haryana;Male;5;3;4;1;60;Completed secondary education;2;;;2;;;1,5;32;68800;10000;10000;Borewell in residence yard;LPG;Solar;250000;50
